Unnamed: 0,file_path,label
20030,data/image_train_val_with_upsample_stft/20030.pt,0
12691,data/image_train_val_with_upsample_stft/12691.pt,0
24207,data/image_train_val_with_upsample_stft/24207.pt,0
24139,data/image_train_val_with_upsample_stft/24139.pt,0
23851,data/image_train_val_with_upsample_stft/23851.pt,0
24258,data/image_train_val_with_upsample_stft/24258.pt,0
24161,data/image_train_val_with_upsample_stft/24161.pt,0
23826,data/image_train_val_with_upsample_stft/23826.pt,0
20035,data/image_train_val_with_upsample_stft/20035.pt,0
12313,data/image_train_val_with_upsample_stft/12313.pt,0
24316,data/image_train_val_with_upsample_stft/24316.pt,0
23857,data/image_train_val_with_upsample_stft/23857.pt,0
11275,data/image_train_val_with_upsample_stft/11275.pt,0
14474,data/image_train_val_with_upsample_stft/14474.pt,0
23987,data/image_train_val_with_upsample_stft/23987.pt,0
9103,data/image_train_val_with_upsample_stft/9103.pt,0
20053,data/image_train_val_with_upsample_stft/20053.pt,0
24248,data/image_train_val_with_upsample_stft/24248.pt,0
15260,data/image_train_val_with_upsample_stft/15260.pt,0
23846,data/image_train_val_with_upsample_stft/23846.pt,0
12323,data/image_train_val_with_upsample_stft/12323.pt,0
15262,data/image_train_val_with_upsample_stft/15262.pt,0
9554,data/image_train_val_with_upsample_stft/9554.pt,0
6473,data/image_train_val_with_upsample_stft/6473.pt,0
12739,data/image_train_val_with_upsample_stft/12739.pt,0
24100,data/image_train_val_with_upsample_stft/24100.pt,0
3114,data/image_train_val_with_upsample_stft/3114.pt,0
17490,data/image_train_val_with_upsample_stft/17490.pt,0
24052,data/image_train_val_with_upsample_stft/24052.pt,0
5939,data/image_train_val_with_upsample_stft/5939.pt,0
24130,data/image_train_val_with_upsample_stft/24130.pt,0
10981,data/image_train_val_with_upsample_stft/10981.pt,0
5937,data/image_train_val_with_upsample_stft/5937.pt,0
14483,data/image_train_val_with_upsample_stft/14483.pt,0
12737,data/image_train_val_with_upsample_stft/12737.pt,0
2928,data/image_train_val_with_upsample_stft/2928.pt,0
23876,data/image_train_val_with_upsample_stft/23876.pt,0
24168,data/image_train_val_with_upsample_stft/24168.pt,0
24172,data/image_train_val_with_upsample_stft/24172.pt,0
9889,data/image_train_val_with_upsample_stft/9889.pt,0
24300,data/image_train_val_with_upsample_stft/24300.pt,0
24313,data/image_train_val_with_upsample_stft/24313.pt,0
11276,data/image_train_val_with_upsample_stft/11276.pt,0
21001,data/image_train_val_with_upsample_stft/21001.pt,0
7319,data/image_train_val_with_upsample_stft/7319.pt,0
23883,data/image_train_val_with_upsample_stft/23883.pt,0
23974,data/image_train_val_with_upsample_stft/23974.pt,0
12689,data/image_train_val_with_upsample_stft/12689.pt,0
24038,data/image_train_val_with_upsample_stft/24038.pt,0
15640,data/image_train_val_with_upsample_stft/15640.pt,0
15241,data/image_train_val_with_upsample_stft/15241.pt,0
14334,data/image_train_val_with_upsample_stft/14334.pt,0
14338,data/image_train_val_with_upsample_stft/14338.pt,0
24013,data/image_train_val_with_upsample_stft/24013.pt,0
20992,data/image_train_val_with_upsample_stft/20992.pt,0
23943,data/image_train_val_with_upsample_stft/23943.pt,0
13656,data/image_train_val_with_upsample_stft/13656.pt,0
15223,data/image_train_val_with_upsample_stft/15223.pt,0
23971,data/image_train_val_with_upsample_stft/23971.pt,0
24216,data/image_train_val_with_upsample_stft/24216.pt,0
20448,data/image_train_val_with_upsample_stft/20448.pt,0
23902,data/image_train_val_with_upsample_stft/23902.pt,0
24156,data/image_train_val_with_upsample_stft/24156.pt,0
24299,data/image_train_val_with_upsample_stft/24299.pt,0
20032,data/image_train_val_with_upsample_stft/20032.pt,0
12328,data/image_train_val_with_upsample_stft/12328.pt,0
9885,data/image_train_val_with_upsample_stft/9885.pt,0
9556,data/image_train_val_with_upsample_stft/9556.pt,0
23897,data/image_train_val_with_upsample_stft/23897.pt,0
5924,data/image_train_val_with_upsample_stft/5924.pt,0
14467,data/image_train_val_with_upsample_stft/14467.pt,0
13923,data/image_train_val_with_upsample_stft/13923.pt,0
